Moving to root at: [0.18381771835321278, 0.08346979607541362, 0.1695]

Run 1: Moving from [0.073  0.0895 0.1195] to goal [0.18381771835321278, 0.08346979607541362, 0.1695]
Step 0: X=0.07346, Y=0.08928, Z=0.12046, Drop: 0, Error=0.120905
Step 1: X=0.07437, Y=0.08907, Z=0.12171, Drop: 0, Error=0.119555
Step 2: X=0.07575, Y=0.08887, Z=0.12296, Drop: 0, Error=0.117790
Step 3: X=0.07758, Y=0.08868, Z=0.12421, Drop: 0, Error=0.115609
Step 4: X=0.07966, Y=0.08851, Z=0.12546, Drop: 0, Error=0.113198
Step 5: X=0.08175, Y=0.08834, Z=0.12671, Drop: 0, Error=0.110787
Step 6: X=0.08383, Y=0.08818, Z=0.12796, Drop: 0, Error=0.108378
Step 7: X=0.08591, Y=0.08803, Z=0.12921, Drop: 0, Error=0.105971
Step 8: X=0.08800, Y=0.08788, Z=0.13046, Drop: 0, Error=0.103565
Step 9: X=0.09008, Y=0.08774, Z=0.13827, Drop: 0, Error=0.098900
Step 10: X=0.09216, Y=0.08759, Z=0.14476, Drop: 0, Error=0.095027
Step 11: X=0.09424, Y=0.08744, Z=0.14995, Drop: 0, Error=0.091770
Step 12: X=0.09632, Y=0.08729, Z=0.15386, Drop: 0, Error=0.088962
Step 13: X=0.09841, Y=0.08715, Z=0.15699, Drop: 0, Error=0.086400
Step 14: X=0.10049, Y=0.08700, Z=0.15949, Drop: 0, Error=0.084000
Step 15: X=0.10258, Y=0.08686, Z=0.16149, Drop: 0, Error=0.081707
Step 16: X=0.10466, Y=0.08673, Z=0.16309, Drop: 0, Error=0.079485
Step 17: X=0.10674, Y=0.08660, Z=0.16437, Drop: 0, Error=0.077310
Step 18: X=0.10882, Y=0.08647, Z=0.16540, Drop: 0, Error=0.075165
Step 19: X=0.11091, Y=0.08635, Z=0.16622, Drop: 0, Error=0.073040
Step 20: X=0.11299, Y=0.08624, Z=0.16688, Drop: 0, Error=0.070929
Step 21: X=0.11508, Y=0.08613, Z=0.16740, Drop: 0, Error=0.068826
Step 22: X=0.11716, Y=0.08603, Z=0.16782, Drop: 0, Error=0.066730
Step 23: X=0.11924, Y=0.08593, Z=0.16815, Drop: 0, Error=0.064637
Step 24: X=0.12132, Y=0.08583, Z=0.16842, Drop: 0, Error=0.062548
Step 25: X=0.12341, Y=0.08574, Z=0.16866, Drop: 0, Error=0.060459
Step 26: X=0.12549, Y=0.08566, Z=0.16887, Drop: 0, Error=0.058370
Step 27: X=0.12758, Y=0.08557, Z=0.16908, Drop: 0, Error=0.056283
Step 28: X=0.12966, Y=0.08549, Z=0.16927, Drop: 0, Error=0.054197
Step 29: X=0.13174, Y=0.08542, Z=0.16945, Drop: 0, Error=0.052112
Step 30: X=0.13383, Y=0.08534, Z=0.16961, Drop: 0, Error=0.050027
Step 31: X=0.13591, Y=0.08527, Z=0.16976, Drop: 0, Error=0.047943
