2025-04-05 12:40:53,316:INFO:Step 0: Current Position = (0.07346, 0.08894, 0.12046), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.120889
2025-04-05 12:40:53,332:INFO:Step 1: Current Position = (0.07437, 0.08783, 0.12171), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.119503
2025-04-05 12:40:53,347:INFO:Step 2: Current Position = (0.07575, 0.08727, 0.12296), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.117727
2025-04-05 12:40:53,362:INFO:Step 3: Current Position = (0.07758, 0.08659, 0.12421), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.115532
2025-04-05 12:40:53,378:INFO:Step 4: Current Position = (0.07966, 0.08607, 0.12546), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.113115
2025-04-05 12:40:53,393:INFO:Step 5: Current Position = (0.08175, 0.08564, 0.12671), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.110701
2025-04-05 12:40:53,408:INFO:Step 6: Current Position = (0.08383, 0.08527, 0.12796), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.108290
2025-04-05 12:40:53,424:INFO:Step 7: Current Position = (0.08591, 0.08497, 0.12921), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.105883
2025-04-05 12:40:53,439:INFO:Step 8: Current Position = (0.08800, 0.08472, 0.13046), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.103478
2025-04-05 12:40:53,455:INFO:Step 9: Current Position = (0.09008, 0.08450, 0.13827), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.098813
2025-04-05 12:40:53,470:INFO:Step 10: Current Position = (0.09216, 0.08433, 0.14476), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.094942
2025-04-05 12:40:53,485:INFO:Step 11: Current Position = (0.09424, 0.08419, 0.14995), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.091687
2025-04-05 12:40:53,500:INFO:Step 12: Current Position = (0.09633, 0.08406, 0.15386), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.088881
2025-04-05 12:40:53,514:INFO:Step 13: Current Position = (0.09841, 0.08397, 0.15699), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.086322
2025-04-05 12:40:53,530:INFO:Step 14: Current Position = (0.10049, 0.08388, 0.15949), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.083926
2025-04-05 12:40:53,545:INFO:Step 15: Current Position = (0.10258, 0.08381, 0.16149), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.081637
2025-04-05 12:40:53,561:INFO:Step 16: Current Position = (0.10466, 0.08376, 0.16309), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.079418
2025-04-05 12:40:53,576:INFO:Step 17: Current Position = (0.10674, 0.08371, 0.16437), Goal Position = (0.18382, 0.08347, 0.16950), Error = 0.000000, Distance = 0.077246
