#{"t_start": 1702243112.2229602, "env_id": "None"}
r,l,t
7.0,1002,15.970351
4.0,1002,31.640574
22.0,1002,47.270238
2.0,1002,62.892764
5.0,1002,78.543389
6.0,1002,94.16996
3.0,1002,109.785878
9.0,1002,125.396052
10.0,1002,144.565214
7.0,1002,160.16856
7.0,1002,175.788653
20.0,1002,191.382581
8.0,1002,207.009923
4.0,1002,222.618815
8.0,1002,238.239362
18.0,1002,253.839508
20.0,1002,272.992536
20.0,1002,288.584192
20.0,1002,304.175438
9.0,1002,319.801216
25.0,1002,335.446472
23.0,1002,351.04666
22.0,1002,366.641798
6.0,1002,382.245203
16.0,1002,401.387927
15.0,1002,416.994034
17.0,1002,432.608765
12.0,1002,448.217332
26.0,1002,463.795967
7.0,1002,479.416924
24.0,1002,495.013849
22.0,1002,510.638707
22.0,1002,529.699222
21.0,1002,545.31565
15.0,1002,560.940357
20.0,1002,576.542917
20.0,1002,592.162585
29.0,1002,607.776331
26.0,1002,623.393868
31.0,1002,639.012964
20.0,1002,658.125419
20.0,1002,673.736525
22.0,1002,689.357429
14.0,1002,704.948454
18.0,1002,720.564183
24.0,1002,736.174749
24.0,1002,751.790105
23.0,1002,767.389664
27.0,1002,783.007074
24.0,1002,802.052015
22.0,1002,817.660238
24.0,1002,833.282305
21.0,1002,848.884619
29.0,1002,864.485557
16.0,1002,880.110442
22.0,1002,895.706786
27.0,1002,911.326387
17.0,1002,930.47556
22.0,1002,946.066847
25.0,1002,961.675655
22.0,1002,977.282675
16.0,1002,992.914495
26.0,1002,1008.510058
18.0,1002,1024.14378
30.0,1002,1039.774549
21.0,1002,1058.97443
13.0,1002,1074.561023
16.0,1002,1090.159843
10.0,1002,1105.773582
24.0,1002,1121.391742
15.0,1002,1137.006455
26.0,1002,1152.603088
18.0,1002,1168.215636
22.0,1002,1187.320666
16.0,1002,1202.921002
18.0,1002,1218.525131
23.0,1002,1234.156694
20.0,1002,1249.750747
13.0,1002,1265.354119
17.0,1002,1280.950931
25.0,1002,1296.577268
12.0,1002,1315.665107
17.0,1002,1331.298108
17.0,1002,1346.927596
21.0,1002,1362.529708
28.0,1002,1378.151729
20.0,1002,1393.778489
20.0,1002,1409.371959
23.0,1002,1425.012671
20.0,1002,1444.094473
25.0,1002,1459.685055
25.0,1002,1475.303226
16.0,1002,1490.934314
11.0,1002,1506.560702
20.0,1002,1522.156006
18.0,1002,1537.780239
16.0,1002,1553.377815
30.0,1002,1568.986896
25.0,1002,1588.092957
20.0,1002,1603.696153
23.0,1002,1619.309234
17.0,1002,1634.921751
23.0,1002,1650.530831
17.0,1002,1666.165634
11.0,1002,1681.781785
14.0,1002,1697.410367
8.0,1002,1716.500855
18.0,1002,1732.120666
7.0,1002,1747.718784
14.0,1002,1763.327125
17.0,1002,1778.945698
23.0,1002,1794.570262
13.0,1002,1810.182071
18.0,1002,1825.806362
14.0,1002,1844.944162
10.0,1002,1860.566922
32.0,1002,1876.156904
12.0,1002,1891.782378
19.0,1002,1907.404753
20.0,1002,1923.021801
27.0,1002,1938.617712
