2025-01-12 20:47:37,867 INFO    MainThread:19452 [wandb_setup.py:_flush():68] Current SDK version is 0.19.2
2025-01-12 20:47:37,868 INFO    MainThread:19452 [wandb_setup.py:_flush():68] Configure stats pid to 19452
2025-01-12 20:47:37,868 INFO    MainThread:19452 [wandb_setup.py:_flush():68] Loading settings from C:\Users\emilp\.config\wandb\settings
2025-01-12 20:47:37,868 INFO    MainThread:19452 [wandb_setup.py:_flush():68] Loading settings from C:\Users\emilp\Documents\GitHub\Y2B-2023-OT2_Twin\wandb\settings
2025-01-12 20:47:37,868 INFO    MainThread:19452 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-12 20:47:37,868 INFO    MainThread:19452 [wandb_init.py:_log_setup():523] Logging user logs to C:\Users\emilp\Documents\GitHub\Y2B-2023-OT2_Twin\wandb\run-20250112_204737-3u5w3wle\logs\debug.log
2025-01-12 20:47:37,869 INFO    MainThread:19452 [wandb_init.py:_log_setup():524] Logging internal logs to C:\Users\emilp\Documents\GitHub\Y2B-2023-OT2_Twin\wandb\run-20250112_204737-3u5w3wle\logs\debug-internal.log
2025-01-12 20:47:37,869 INFO    MainThread:19452 [wandb_init.py:init():641] calling init triggers
2025-01-12 20:47:37,869 INFO    MainThread:19452 [wandb_init.py:init():647] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2025-01-12 20:47:37,869 INFO    MainThread:19452 [wandb_init.py:init():674] starting backend
2025-01-12 20:47:38,088 INFO    MainThread:19452 [wandb_init.py:init():678] sending inform_init request
2025-01-12 20:47:38,128 INFO    MainThread:19452 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-01-12 20:47:38,128 INFO    MainThread:19452 [wandb_init.py:init():693] backend started and connected
2025-01-12 20:47:38,130 INFO    MainThread:19452 [wandb_init.py:init():786] updated telemetry
2025-01-12 20:47:38,202 INFO    MainThread:19452 [wandb_init.py:init():818] communicating run to backend with 90.0 second timeout
2025-01-12 20:47:39,672 INFO    MainThread:19452 [wandb_init.py:init():868] starting run threads in backend
2025-01-12 20:47:39,761 INFO    MainThread:19452 [wandb_run.py:_console_start():2415] atexit reg
2025-01-12 20:47:39,761 INFO    MainThread:19452 [wandb_run.py:_redirect():2265] redirect: wrap_raw
2025-01-12 20:47:39,761 INFO    MainThread:19452 [wandb_run.py:_redirect():2330] Wrapping output streams.
2025-01-12 20:47:39,761 INFO    MainThread:19452 [wandb_run.py:_redirect():2355] Redirects installed.
2025-01-12 20:47:39,769 INFO    MainThread:19452 [wandb_init.py:init():910] run started, returning control to user process
2025-01-12 20:47:39,771 INFO    MainThread:19452 [wandb_run.py:_finish():2140] finishing run 231007-breda-university-of-applied-sciences/my-awesome-project/3u5w3wle
2025-01-12 20:47:39,771 INFO    MainThread:19452 [wandb_run.py:_atexit_cleanup():2380] got exitcode: 0
2025-01-12 20:47:39,771 INFO    MainThread:19452 [wandb_run.py:_restore():2362] restore
2025-01-12 20:47:39,771 INFO    MainThread:19452 [wandb_run.py:_restore():2368] restore done
2025-01-12 20:47:42,136 INFO    MainThread:19452 [wandb_run.py:_footer_history_summary_info():3984] rendering history
2025-01-12 20:47:42,136 INFO    MainThread:19452 [wandb_run.py:_footer_history_summary_info():4016] rendering summary
2025-01-12 20:47:42,145 INFO    MainThread:19452 [wandb_run.py:_footer_sync_info():3945] logging synced files
